Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost,Filename,Npofb20
2,39.70149253731344,RandomForest,Best First,none,Sensitive Threshold,0.0178571428571428,0.5,0.6075,0.0156630699617124,0.0344827586206896,1.0,55.0,145.0,1.0,65.0,AVRO_RandomForest_BestFirst_SensitiveThreshold_2.csv,0.0
2,39.70149253731344,NaiveBayes,Best First,none,Sensitive Threshold,0.0099009900990099,1.0,0.95625,0.0,0.0196078431372549,2.0,200.0,0.0,0.0,200.0,AVRO_NaiveBayes_BestFirst_SensitiveThreshold_2.csv,0.0
2,39.70149253731344,IBk,none,SMOTE,none,0.0,0.0,0.3925,-0.019286835613366,0.0,0.0,43.0,157.0,2.0,63.0,AVRO_IBk_SMOTE_2.csv,0.0
2,39.70149253731344,RandomForest,none,SMOTE,none,0.0,0.0,0.51375,-0.019558359621451,0.0,0.0,62.0,138.0,2.0,82.0,AVRO_RandomForest_SMOTE_2.csv,0.0
2,39.70149253731344,NaiveBayes,none,SMOTE,none,0.0277777777777777,0.5,0.5125,0.034519383961763,0.0526315789473684,1.0,35.0,165.0,1.0,45.0,AVRO_NaiveBayes_SMOTE_2.csv,0.0
2,39.70149253731344,IBk,Best First,SMOTE,none,0.0,0.0,0.3875,-0.0193782801776342,0.0,0.0,48.0,152.0,2.0,68.0,AVRO_IBk_BestFirst_SMOTE_2.csv,0.0
2,39.70149253731344,RandomForest,Best First,SMOTE,none,0.0,0.0,0.55125,-0.0194793695767666,0.0,0.0,55.0,145.0,2.0,75.0,AVRO_RandomForest_BestFirst_SMOTE_2.csv,0.0
2,39.70149253731344,NaiveBayes,Best First,SMOTE,none,0.0113636363636363,0.5,0.49,0.0029167601525688,0.0222222222222222,1.0,87.0,113.0,1.0,97.0,AVRO_NaiveBayes_BestFirst_SMOTE_2.csv,0.0
3,66.34615384615384,IBk,none,none,none,0.0833333333333333,0.3333333333333333,0.6356209150326797,0.0918163672654688,0.1333333333333333,1.0,11.0,91.0,2.0,31.0,AVRO_IBk__3.csv,0.3333333333333333
3,66.34615384615384,RandomForest,none,none,none,1.0,0.3333333333333333,0.6029411764705882,0.4927536231884047,0.5,1.0,0.0,102.0,2.0,20.0,AVRO_RandomForest__3.csv,0.3333333333333333
3,66.34615384615384,NaiveBayes,none,none,none,0.0,0.0,0.9117647058823528,-0.0294117647058827,0.0,0.0,3.0,99.0,3.0,33.0,AVRO_NaiveBayes__3.csv,0.3333333333333333
3,66.34615384615384,IBk,Best First,none,none,0.125,0.6666666666666666,0.8006535947712419,0.1706161137440753,0.2105263157894736,2.0,14.0,88.0,1.0,24.0,AVRO_IBk_BestFirst_3.csv,0.6666666666666666
3,66.34615384615384,RandomForest,Best First,none,none,0.1428571428571428,0.3333333333333333,0.7630718954248366,0.166666666666667,0.2,1.0,6.0,96.0,2.0,26.0,AVRO_RandomForest_BestFirst_3.csv,0.3333333333333333
3,66.34615384615384,NaiveBayes,Best First,none,none,0.0,0.0,0.934640522875817,-0.0294117647058827,0.0,0.0,3.0,99.0,3.0,33.0,AVRO_NaiveBayes_BestFirst_3.csv,0.0
