Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
2,39.701492537313435,RandomForest,Best First,SMOTE,none,0.0,0.0,0.55125,-0.019479369576766603,0.0,0.0,55.0,145.0,2.0,75.0
2,39.701492537313435,NaiveBayes,Best First,SMOTE,none,0.011363636363636364,0.5,0.49,0.0029167601525688343,0.022222222222222223,1.0,87.0,113.0,1.0,97.0
3,66.34615384615384,IBk,none,none,none,0.08333333333333333,0.3333333333333333,0.6356209150326797,0.09181636726546882,0.13333333333333333,1.0,11.0,91.0,2.0,31.0
3,66.34615384615384,RandomForest,none,none,none,1.0,0.3333333333333333,0.6029411764705882,0.4927536231884047,0.5,1.0,0.0,102.0,2.0,20.0
3,66.34615384615384,NaiveBayes,none,none,none,0.0,0.0,0.9117647058823529,-0.029411764705882706,0.0,0.0,3.0,99.0,3.0,33.0
3,66.34615384615384,IBk,Best First,none,none,0.125,0.6666666666666666,0.8006535947712419,0.17061611374407534,0.21052631578947367,2.0,14.0,88.0,1.0,24.0
3,66.34615384615384,RandomForest,Best First,none,none,0.14285714285714285,0.3333333333333333,0.7630718954248366,0.16666666666666707,0.2,1.0,6.0,96.0,2.0,26.0
3,66.34615384615384,NaiveBayes,Best First,none,none,0.0,0.0,0.934640522875817,-0.029411764705882706,0.0,0.0,3.0,99.0,3.0,33.0
3,66.34615384615384,IBk,none,none,Sensitive Threshold,0.08333333333333333,0.3333333333333333,0.6356209150326797,0.09181636726546882,0.13333333333333333,1.0,11.0,91.0,2.0,31.0
3,66.34615384615384,RandomForest,none,none,Sensitive Threshold,0.04,0.3333333333333333,0.4950980392156863,0.02150537634408613,0.07142857142857142,1.0,24.0,78.0,2.0,44.0
3,66.34615384615384,NaiveBayes,none,none,Sensitive Threshold,0.25,0.6666666666666666,0.9117647058823529,0.3360433604336044,0.36363636363636365,2.0,6.0,96.0,1.0,16.0
3,66.34615384615384,IBk,Best First,none,Sensitive Threshold,0.125,0.6666666666666666,0.8006535947712419,0.17061611374407534,0.21052631578947367,2.0,14.0,88.0,1.0,24.0
3,66.34615384615384,RandomForest,Best First,none,Sensitive Threshold,0.043478260869565216,0.3333333333333333,0.6013071895424836,0.027777777777778106,0.07692307692307691,1.0,22.0,80.0,2.0,42.0
3,66.34615384615384,NaiveBayes,Best First,none,Sensitive Threshold,0.04225352112676056,1.0,0.934640522875817,0.027777777777777804,0.08108108108108109,3.0,68.0,34.0,0.0,68.0
3,66.34615384615384,IBk,none,SMOTE,none,0.07692307692307693,0.3333333333333333,0.630718954248366,0.08239700374531835,0.125,1.0,12.0,90.0,2.0,32.0
3,66.34615384615384,RandomForest,none,SMOTE,none,0.2,0.3333333333333333,0.42483660130718953,0.22222222222222188,0.25,1.0,4.0,98.0,2.0,24.0
3,66.34615384615384,NaiveBayes,none,SMOTE,none,0.3333333333333333,0.3333333333333333,0.8856209150326797,0.31372549019607887,0.3333333333333333,1.0,2.0,100.0,2.0,22.0
3,66.34615384615384,IBk,Best First,SMOTE,none,0.05555555555555555,0.3333333333333333,0.6062091503267973,0.04864091559370492,0.09523809523809525,1.0,17.0,85.0,2.0,37.0
3,66.34615384615384,RandomForest,Best First,SMOTE,none,0.16666666666666666,0.3333333333333333,0.5032679738562091,0.1914191419141915,0.2222222222222222,1.0,5.0,97.0,2.0,25.0
3,66.34615384615384,NaiveBayes,Best First,SMOTE,none,0.25,0.6666666666666666,0.9379084967320261,0.3360433604336044,0.36363636363636365,2.0,6.0,96.0,1.0,16.0
4,79.57198443579766,IBk,none,none,none,0.0,0.0,0.5518053375196232,-0.0629921259842519,0.0,0.0,4.0,87.0,14.0,144.0
4,79.57198443579766,RandomForest,none,none,none,0.0,0.0,0.5800627943485086,0.0,0.0,0.0,0.0,91.0,14.0,140.0
4,79.57198443579766,NaiveBayes,none,none,none,0.0,0.0,0.7386185243328101,-0.04938271604938284,0.0,0.0,3.0,88.0,14.0,143.0
4,79.57198443579766,IBk,Best First,none,none,0.25,0.14285714285714285,0.7095761381475667,0.0939597315436242,0.18181818181818182,2.0,6.0,85.0,12.0,126.0
4,79.57198443579766,RandomForest,Best First,none,none,0.2857142857142857,0.14285714285714285,0.6134222919937206,0.11149825783972113,0.19047619047619047,2.0,5.0,86.0,12.0,125.0
4,79.57198443579766,NaiveBayes,Best First,none,none,0.0,0.0,0.7421507064364207,-0.034482758620689995,0.0,0.0,2.0,89.0,14.0,142.0
4,79.57198443579766,IBk,none,none,Sensitive Threshold,0.125,0.07142857142857142,0.5518053375196232,-0.006711409395973367,0.09090909090909091,1.0,7.0,84.0,13.0,137.0
4,79.57198443579766,RandomForest,none,none,Sensitive Threshold,0.3333333333333333,0.14285714285714285,0.5894819466248038,0.13043478260869534,0.2,2.0,4.0,87.0,12.0,124.0
4,79.57198443579766,NaiveBayes,none,none,Sensitive Threshold,0.25,0.14285714285714285,0.7386185243328101,0.0939597315436242,0.18181818181818182,2.0,6.0,85.0,12.0,126.0
4,79.57198443579766,IBk,Best First,none,Sensitive Threshold,0.1875,0.21428571428571427,0.7095761381475667,0.06735751295336817,0.19999999999999998,3.0,13.0,78.0,11.0,123.0
4,79.57198443579766,RandomForest,Best First,none,Sensitive Threshold,0.25,0.35714285714285715,0.576138147566719,0.1627906976744188,0.2941176470588235,5.0,15.0,76.0,9.0,105.0
4,79.57198443579766,NaiveBayes,Best First,none,Sensitive Threshold,0.2702702702702703,0.7142857142857143,0.7421507064364207,0.24635332252836314,0.39215686274509803,10.0,27.0,64.0,4.0,67.0
4,79.57198443579766,IBk,none,SMOTE,none,0.125,0.07142857142857142,0.5596546310832025,-0.006711409395973367,0.09090909090909091,1.0,7.0,84.0,13.0,137.0
4,79.57198443579766,RandomForest,none,SMOTE,none,0.0,0.0,0.5125588697017268,-0.01809954751131279,0.0,0.0,1.0,90.0,14.0,141.0
4,79.57198443579766,NaiveBayes,none,SMOTE,none,0.5,0.07142857142857142,0.750392464678179,0.09482758620689653,0.125,1.0,1.0,90.0,13.0,131.0
4,79.57198443579766,IBk,Best First,SMOTE,none,0.0,0.0,0.5525902668759811,-0.0629921259842519,0.0,0.0,4.0,87.0,14.0,144.0
4,79.57198443579766,RandomForest,Best First,SMOTE,none,0.0,0.0,0.5,-0.0629921259842519,0.0,0.0,4.0,87.0,14.0,144.0
4,79.57198443579766,NaiveBayes,Best First,SMOTE,none,1.0,0.07142857142857142,0.7480376766091051,0.11764705882352917,0.13333333333333333,1.0,0.0,91.0,13.0,130.0
5,63.378545006165226,IBk,none,none,none,0.2222222222222222,0.11764705882352941,0.6686974789915966,0.11893203883495183,0.15384615384615383,2.0,7.0,273.0,15.0,157.0
5,63.378545006165226,RandomForest,none,none,none,0.5,0.058823529411764705,0.6716386554621848,0.09434977578475452,0.10526315789473684,1.0,1.0,279.0,16.0,161.0
5,63.378545006165226,NaiveBayes,none,none,none,0.06451612903225806,0.11764705882352941,0.4928571428571429,0.010149977276170277,0.08333333333333333,2.0,29.0,251.0,15.0,179.0
5,63.378545006165226,IBk,Best First,none,none,0.1111111111111111,0.058823529411764705,0.5800420168067227,0.038834951456311446,0.07692307692307691,1.0,8.0,272.0,16.0,168.0
5,63.378545006165226,RandomForest,Best First,none,none,0.14285714285714285,0.058823529411764705,0.5152310924369747,0.051669085631349275,0.08333333333333333,1.0,6.0,274.0,16.0,166.0
5,63.378545006165226,NaiveBayes,Best First,none,none,0.0,0.0,0.27016806722689074,-0.017471736896197396,0.0,0.0,3.0,277.0,17.0,173.0
5,63.378545006165226,IBk,none,none,Sensitive Threshold,0.15384615384615385,0.11764705882352941,0.6686974789915966,0.08809636277751452,0.13333333333333333,2.0,11.0,269.0,15.0,161.0
5,63.378545006165226,RandomForest,none,none,Sensitive Threshold,0.14285714285714285,0.11764705882352941,0.5832983193277311,0.08154850532584962,0.12903225806451615,2.0,12.0,268.0,15.0,162.0
5,63.378545006165226,NaiveBayes,none,none,Sensitive Threshold,0.07894736842105263,0.17647058823529413,0.4928571428571429,0.03257328990227989,0.10909090909090909,3.0,35.0,245.0,14.0,175.0
5,63.378545006165226,IBk,Best First,none,Sensitive Threshold,0.11764705882352941,0.11764705882352941,0.5800420168067227,0.06407563025210104,0.11764705882352941,2.0,15.0,265.0,15.0,165.0
5,63.378545006165226,RandomForest,Best First,none,Sensitive Threshold,0.09523809523809523,0.11764705882352941,0.5389705882352941,0.04483541430192974,0.10526315789473684,2.0,19.0,261.0,15.0,169.0
5,63.378545006165226,NaiveBayes,Best First,none,Sensitive Threshold,0.0,0.0,0.27016806722689074,-0.05451838277402385,0.0,0.0,14.0,266.0,17.0,184.0
5,63.378545006165226,IBk,none,SMOTE,none,0.2,0.11764705882352941,0.667016806722689,0.11043104570907707,0.14814814814814817,2.0,8.0,272.0,15.0,158.0
5,63.378545006165226,RandomForest,none,SMOTE,none,0.4444444444444444,0.23529411764705882,0.6294117647058823,0.27912621359223394,0.30769230769230765,4.0,5.0,275.0,13.0,135.0
5,63.378545006165226,NaiveBayes,none,SMOTE,none,0.03636363636363636,0.11764705882352941,0.45546218487394957,-0.034949267192784336,0.055555555555555566,2.0,53.0,227.0,15.0,203.0
5,63.378545006165226,IBk,Best First,SMOTE,none,0.15384615384615385,0.11764705882352941,0.6929621848739496,0.08809636277751452,0.13333333333333333,2.0,11.0,269.0,15.0,161.0
5,63.378545006165226,RandomForest,Best First,SMOTE,none,0.1111111111111111,0.058823529411764705,0.6151260504201681,0.038834951456311446,0.07692307692307691,1.0,8.0,272.0,16.0,168.0
