Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
1,40.32846715328467,IBk,none,none,none,0.09016393442622951,0.6111111111111112,0.633495145631068,0.06770078283560445,0.15714285714285717,11.0,111.0,198.0,7.0,181.0
1,40.32846715328467,RandomForest,none,none,none,0.17391304347826086,0.4444444444444444,0.7808342322905429,0.1855541718555419,0.25,8.0,38.0,271.0,10.0,138.0
1,40.32846715328467,NaiveBayes,none,none,none,0.056962025316455694,1.0,0.8052858683926645,0.004047341632427794,0.10778443113772454,18.0,298.0,11.0,0.0,298.0
1,40.32846715328467,IBk,Best First,none,none,0.08396946564885496,0.6111111111111112,0.6183926645091694,0.05630922353261959,0.1476510067114094,11.0,120.0,189.0,7.0,190.0
1,40.32846715328467,RandomForest,Best First,none,none,0.10975609756097561,0.5,0.7838007910823445,0.09862847922549438,0.18,9.0,73.0,236.0,9.0,163.0
1,40.32846715328467,NaiveBayes,Best First,none,none,0.1509433962264151,0.4444444444444444,0.8039374325782093,0.1559904265803182,0.22535211267605632,8.0,45.0,264.0,10.0,145.0
1,40.32846715328467,IBk,none,none,Sensitive Threshold,0.09016393442622951,0.6111111111111112,0.633495145631068,0.06770078283560445,0.15714285714285717,11.0,111.0,198.0,7.0,181.0
1,40.32846715328467,RandomForest,none,none,Sensitive Threshold,0.13157894736842105,0.5555555555555556,0.7987234807623157,0.13584743946860922,0.2127659574468085,10.0,66.0,243.0,8.0,146.0
1,40.32846715328467,NaiveBayes,none,none,Sensitive Threshold,0.05642633228840126,1.0,0.8051959726717008,0.0029174897432001265,0.10682492581602374,18.0,301.0,8.0,0.0,301.0
1,40.32846715328467,IBk,Best First,none,Sensitive Threshold,0.08396946564885496,0.6111111111111112,0.6183926645091694,0.05630922353261959,0.1476510067114094,11.0,120.0,189.0,7.0,190.0
1,40.32846715328467,RandomForest,Best First,none,Sensitive Threshold,0.1368421052631579,0.7222222222222222,0.7930600503416038,0.15156124183591305,0.23008849557522126,13.0,82.0,227.0,5.0,132.0
1,40.32846715328467,NaiveBayes,Best First,none,Sensitive Threshold,0.08411214953271028,1.0,0.8039374325782093,0.0596830985915493,0.15517241379310345,18.0,196.0,113.0,0.0,196.0
1,40.32846715328467,IBk,none,SMOTE,none,0.09929078014184398,0.7777777777777778,0.6877022653721683,0.08696208197455081,0.1761006289308176,14.0,127.0,182.0,4.0,167.0
1,40.32846715328467,RandomForest,none,SMOTE,none,0.13333333333333333,0.5555555555555556,0.7844300611290903,0.13857312980404865,0.21505376344086022,10.0,65.0,244.0,8.0,145.0
