InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,19,5.091649694501019E-4,19
1,8,5.096320456630314E-5,8
2,7,2.316638094796831E-5,7
3,320,1.0191602119853241E-4,320
4,1155,5.091649694501019E-4,1155
5,5,1.107984133667206E-5,5
6,16,2.5471217524197657E-4,16
7,11,1.6983695652173913E-4,11
8,4,5.091649694501019E-4,4
9,135,5.091649694501019E-4,135
10,16,6.370238246910436E-5,16
11,40,5.091649694501019E-4,40
12,16,2.5471217524197657E-4,16
13,169,2.5471217524197657E-4,169
14,168,2.5471217524197657E-4,168
15,261,5.091649694501019E-4,261
16,275,1.6983695652173913E-4,275
17,97,1.2738853503184715E-4,97
18,12,1.6983695652173913E-4,12
19,53,6.370238246910436E-5,53
20,35,6.370238246910436E-5,35
21,13,6.370238246910436E-5,13
22,9,1.6983695652173913E-4,9
23,50,5.091649694501019E-4,50
24,6,7.280139778683751E-5,6
25,5,1.107984133667206E-5,5
26,688,0.9994908350305498,688
27,255,5.091649694501019E-4,255
28,136,2.5471217524197657E-4,136
29,4,1.6988889266419762E-5,4
30,4,1.6988889266419762E-5,4
31,5,1.107984133667206E-5,5
32,120,5.091649694501019E-4,120
33,5,1.107984133667206E-5,5
34,346,2.5471217524197657E-4,346
35,647,2.5471217524197657E-4,647
36,68,2.5471217524197657E-4,68
37,363,2.5471217524197657E-4,363
38,126,2.5471217524197657E-4,126
39,7,1.9602462069235897E-5,7
40,7,1.9602462069235897E-5,7
41,30,2.5471217524197657E-4,30
42,94,2.5471217524197657E-4,94
43,154,0.142909143855562,154
44,75,2.5471217524197657E-4,75
45,40,2.5471217524197657E-4,40
46,84,2.5471217524197657E-4,84
47,375,2.5471217524197657E-4,375
48,207,2.5471217524197657E-4,207
49,49,2.5471217524197657E-4,49
50,36,4.63306152705708E-5,36
51,144,2.5471217524197657E-4,144
52,188,2.5471217524197657E-4,188
53,152,2.5471217524197657E-4,152
54,58,6.370238246910436E-5,58
55,98,6.370238246910436E-5,98
56,363,0.9994908350305498,363
57,44,4.63306152705708E-5,44
58,359,8.493290300662476E-5,359
59,82,6.370238246910436E-5,82
60,10,2.123593119558293E-5,10
61,402,2.5471217524197657E-4,402
62,101,5.091649694501019E-4,101
63,76,8.493290300662476E-5,76
64,10,2.123593119558293E-5,10
65,12,2.316638094796831E-5,12
66,12,2.316638094796831E-5,12
67,199,5.091649694501019E-4,199
68,29,5.091649694501019E-4,29
69,30,3.3976624082631156E-5,30
70,75,1.6983695652173913E-4,75
71,30,5.091649694501019E-4,30
72,11,5.091649694501019E-4,11
73,4,1.6988889266419762E-5,4
74,27,6.370238246910436E-5,27
75,15,1.6983695652173913E-4,15
76,52,2.5471217524197657E-4,52
77,70,2.5471217524197657E-4,70
78,81,5.091649694501019E-4,81
79,119,1.2738853503184715E-4,119
80,47,2.5471217524197657E-4,47
81,9,5.096320456630314E-5,9
82,423,5.091649694501019E-4,423
83,82,5.091649694501019E-4,82
84,5,1.107984133667206E-5,5
85,45,5.6625141562853915E-5,45
86,54,5.096320456630314E-5,54
87,51,2.5471217524197657E-4,51
88,79,2.5471217524197657E-4,79
89,26,2.5471217524197657E-4,26
90,27,6.370238246910436E-5,27
91,110,2.5471217524197657E-4,110
92,274,1.6983695652173913E-4,274
93,111,1.2738853503184715E-4,111
94,95,2.5471217524197657E-4,95
95,10,2.123593119558293E-5,10
96,376,2.5471217524197657E-4,376
97,182,5.091649694501019E-4,182
98,30,2.9979613862573453E-5,30
99,68,1.6983695652173913E-4,68
100,324,5.091649694501019E-4,324
101,7,1.9602462069235897E-5,7
102,101,0.9994908350305498,101
103,80,2.5471217524197657E-4,80
104,47,4.63306152705708E-5,47
105,63,5.091649694501019E-4,63
106,40,2.5471217524197657E-4,40
107,48,0.9994908350305498,48
108,34,2.5471217524197657E-4,34
109,112,0.33338994565217384,112
110,68,2.5471217524197657E-4,68
111,27,6.370238246910436E-5,27
112,165,1.2738853503184715E-4,165
113,28,8.493290300662476E-5,28
114,19,1.2738853503184715E-4,19
115,161,1.2738853503184715E-4,161
116,20,1.2738853503184715E-4,20
117,194,2.5471217524197657E-4,194
118,38,6.370238246910436E-5,38
119,212,1.2738853503184715E-4,212
120,45,1.2738853503184715E-4,45
121,107,1.2738853503184715E-4,107
122,11,1.2738853503184715E-4,11
123,22,1.2738853503184715E-4,22
124,126,1.2738853503184715E-4,126
125,191,2.5471217524197657E-4,191
126,198,1.2738853503184715E-4,198
127,65,1.2738853503184715E-4,65
128,268,1.6983695652173913E-4,268
129,44,4.63306152705708E-5,44
