InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.022252621638479072,NO,8
1,0.022252621638479072,NO,7
2,0.35492596048472075,NO,320
3,0.9999999999999549,NO,1047
4,0.022252621638479072,NO,5
5,0.022681803841902468,NO,16
6,0.023666682673884,NO,36
7,0.0226417524682583,NO,14
8,0.03750010119282799,NO,123
9,0.12707481107858404,NO,235
10,0.10095862487188083,NO,248
11,0.02857457936162715,NO,97
12,0.0226280303700627,NO,12
13,0.025460316590675883,NO,53
14,0.023666682673884,NO,35
15,0.0226280303700627,NO,13
16,0.022440109569233868,NO,8
17,0.022252621638479072,NO,6
18,0.022252621638479072,NO,5
19,0.998197427898193,NO,454
20,0.2608649965806818,NO,269
21,0.04657707306516475,NO,138
22,0.022252621638479072,NO,4
23,0.022252621638479072,NO,4
24,0.022252621638479072,NO,5
25,0.025117803845287633,NO,46
26,0.023292406668979932,NO,29
27,0.022252621638479072,NO,5
28,0.19803950363269035,NO,250
29,0.9979211366176264,NO,648
30,0.05606230173980459,NO,186
31,0.7521758769049499,NO,422
32,0.022292000372057367,NO,7
33,0.022292000372057367,NO,7
34,0.027121437476325307,NO,32
35,0.027052323954726072,NO,76
36,0.05316791231161803,NO,154
37,0.02777377879566664,NO,42
38,0.8382161853583202,NO,363
39,0.07552411441749969,NO,198
40,0.030642505576302236,NO,47
41,0.024098233634861185,NO,36
42,0.062332207495037886,NO,126
43,0.06664392274703747,NO,185
44,0.04645778713096709,NO,159
45,0.027912407434105516,NO,58
46,0.03251261133152026,NO,98
47,0.9253515708267127,NO,352
48,0.024795989406777973,NO,44
49,0.1549622987890086,NO,358
50,0.02973034201269997,NO,82
51,0.0226417524682583,NO,15
52,0.025117803845287633,NO,50
53,0.026189992091986216,NO,68
54,0.024117425476694924,NO,45
55,0.024764034421073746,NO,54
56,0.023292406668979932,NO,26
57,0.027052323954726072,NO,75
58,0.023292406668979932,NO,27
59,0.029721370724616673,NO,109
60,0.048877756798041364,NO,191
61,0.030836265200546657,NO,111
62,0.02722985090537914,NO,84
63,0.022439008394081646,NO,10
64,0.06085723569411824,NO,183
65,0.04879142110464056,NO,163
66,0.02354888324056668,NO,30
67,0.026619402191431087,NO,68
68,0.3622331650416935,NO,311
69,0.022292000372057367,NO,7
70,0.02910995582054043,NO,89
71,0.027628553450644754,NO,77
72,0.023053753353731235,NO,23
73,0.023138805292382488,NO,27
74,0.039235082066619596,NO,165
75,0.023138805292382488,NO,28
76,0.022901688870224365,NO,19
77,0.03758509740850783,NO,161
78,0.022901688870224365,NO,20
79,0.0462405450583397,NO,191
80,0.024098233634861185,NO,38
81,0.05962473016315441,NO,212
82,0.024117425476694924,NO,45
83,0.03165448696672766,NO,107
84,0.022439008394081646,NO,11
85,0.022901688870224365,NO,22
86,0.03557107189948918,NO,126
87,0.05606230173980459,NO,190
88,0.048896290011946474,NO,198
89,0.02532632886984759,NO,65
90,0.08913063120323103,NO,248
91,0.02309796602066428,NO,28
92,0.04413446978013109,NO,139
93,0.022292000372057367,NO,6
94,0.02354888324056668,NO,30
95,0.027726590626441033,NO,89
96,0.022252621638479072,NO,4
97,0.022901688870224365,NO,23
98,0.022478709378815912,NO,11
99,0.0254073205638435,NO,61
100,0.025049123075481988,NO,51
101,0.022681803841902468,NO,18
102,0.02722985090537914,NO,85
103,0.02661612115199648,NO,75
104,0.022252621638479072,NO,4
105,0.02356096294041542,NO,25
106,0.02354888324056668,NO,30
107,0.02339363104354549,NO,32
108,0.024764034421073746,NO,52
109,0.02339363104354549,NO,31
110,0.023666682673884,NO,36
111,0.1693891476540252,NO,372
112,0.022901688870224365,NO,19
113,0.05060593179899725,NO,193
114,0.022478709378815912,NO,11
115,0.022439008394081646,NO,12
116,0.02354888324056668,NO,31
117,0.029609217154982655,NO,104
118,0.02339363104354549,NO,33
119,0.024764034421073746,NO,53
120,0.025049123075481988,NO,55
121,0.024430653806590392,NO,48
122,0.025494072616592818,NO,66
123,0.02339363104354549,NO,30
124,0.024712001766515702,NO,50
125,0.025460316590675883,NO,53
126,0.028503735437991142,NO,89
127,0.024712001766515702,NO,49
128,0.022439008394081646,NO,10
129,0.7656609043827167,NO,351
130,0.03669243883726199,NO,116
131,0.028589160977639142,NO,85
132,0.024117425476694924,NO,43
133,0.02339363104354549,NO,31
134,0.022439008394081646,NO,10
135,0.022439008394081646,NO,12
136,0.022439008394081646,NO,12
137,0.025117803845287633,NO,46
138,0.022292000372057367,NO,8
139,0.7871983875514597,NO,348
140,0.1473318151134945,NO,153
141,0.025118260229082274,NO,59
142,0.023138805292382488,NO,28
143,0.022681803841902468,NO,18
144,0.022252621638479072,NO,7
145,0.022252621638479072,NO,4
146,0.023138805292382488,NO,27
147,0.026619402191431087,NO,72
148,0.026619402191431087,NO,71
149,0.025494072616592818,NO,62
150,0.02339363104354549,NO,30
151,0.024430653806590392,NO,50
152,0.02589226383281028,NO,69
153,0.025494072616592818,NO,62
154,0.024712001766515702,NO,47
155,0.024764034421073746,NO,53
156,0.026210329367880675,NO,65
157,0.034413555881930444,NO,136
158,0.028044804065333613,NO,91
159,0.024764034421073746,NO,56
160,0.022478709378815912,NO,9
161,0.027628553450644754,NO,77
162,0.027510019339976783,NO,81
163,0.030993165253155142,NO,119
