InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.010440436332101713,NO,15
1,0.010411831248871415,NO,8
2,0.010411831248871415,NO,7
3,0.3069529882877066,NO,320
4,1.0,NO,1099
5,0.010391400470385143,NO,5
6,0.010440436332101713,NO,16
7,0.010410114426586644,NO,16
8,0.04007244053549949,NO,40
9,0.0389253713408572,NO,16
10,0.02830751732830037,NO,169
11,0.02651539745009472,NO,168
12,0.10247101853745923,NO,261
13,0.13748294728765162,NO,275
14,0.012759268954030916,NO,97
15,0.010431501641533076,NO,12
16,0.011176355563491861,NO,53
17,0.010699921612908359,NO,35
18,0.010431501641533076,NO,13
19,0.01040292078054357,NO,9
20,0.016147053225897663,NO,50
21,0.010391400470385143,NO,6
22,0.010391400470385143,NO,5
23,0.9999995105945656,NO,568
24,0.5046564398759246,NO,274
25,0.020832169954770666,NO,136
26,0.010391400470385143,NO,4
27,0.010391400470385143,NO,4
28,0.010391400470385143,NO,5
29,0.010391400470385143,NO,5
30,0.48950430195548644,NO,346
31,0.9998074731133412,NO,647
32,0.012466511770328778,NO,68
33,0.3968641404910506,NO,363
34,0.01789206695670876,NO,126
35,0.010381591548832846,NO,7
36,0.010381591548832846,NO,7
37,0.011871454138037413,NO,30
38,0.01304310592246903,NO,94
39,0.026088007705899384,NO,154
40,0.012293780550729284,NO,75
41,0.012562737516847264,NO,40
42,0.012643292256488088,NO,84
43,0.9372950267404759,NO,375
44,0.05571600016181598,NO,207
45,0.013957987154348777,NO,49
46,0.010775202184560306,NO,36
47,0.044754165442210905,NO,144
48,0.035297335783214125,NO,188
49,0.020658688184370274,NO,152
50,0.012571483802493368,NO,58
51,0.01458659534048145,NO,98
52,0.9747316796022788,NO,363
53,0.01107652032716548,NO,44
54,0.3387375938029362,NO,359
55,0.013405257375322716,NO,82
56,0.010411831248871415,NO,10
57,0.9815192763033467,NO,402
58,0.014309963265715276,NO,101
59,0.04464884830768614,NO,76
60,0.010411831248871415,NO,10
61,0.010440436332101713,NO,12
62,0.010440436332101713,NO,12
63,0.1578540969456875,NO,164
64,0.01139783759218405,NO,66
65,0.010545346798681616,NO,30
66,0.010468316246739728,NO,18
67,0.010411831248871415,NO,7
68,0.010391400470385143,NO,4
69,0.010567008877075443,NO,27
70,0.011367073095353866,NO,52
71,0.011536407943794638,NO,70
72,0.012193082842569198,NO,81
73,0.01386823630627501,NO,119
74,0.011265553642247003,NO,47
75,0.010381591548832846,NO,9
76,0.7220129229341141,NO,334
77,0.012999154720863331,NO,82
78,0.010684566298530351,NO,5
79,0.010944757965158982,NO,45
80,0.011151641553086889,NO,54
81,0.011176355563491861,NO,51
82,0.012193082842569198,NO,79
83,0.01076951400549041,NO,26
84,0.010567008877075443,NO,27
85,0.018642860879285534,NO,110
86,0.10383184863326697,NO,274
87,0.013708102294621025,NO,111
88,0.012519822884844252,NO,95
89,0.010411831248871415,NO,10
90,0.4096991651224674,NO,376
91,0.034143227902352864,NO,182
92,0.010567008877075443,NO,30
93,0.011874336944633045,NO,68
94,0.7337307227516489,NO,324
95,0.010381591548832846,NO,7
96,0.014253165248625362,NO,101
97,0.012800947642412517,NO,80
98,0.012041991137400685,NO,47
99,0.015030142856676181,NO,63
100,0.010779588252971243,NO,40
101,0.015013241376716923,NO,48
102,0.010607329383981996,NO,34
103,0.017216527928288285,NO,112
104,0.011675209014243706,NO,68
105,0.010545346798681616,NO,27
106,0.01829314740384138,NO,165
107,0.010545346798681616,NO,28
108,0.010446854349380509,NO,19
109,0.017487187308446193,NO,161
110,0.010446854349380509,NO,20
111,0.022499484692649733,NO,194
112,0.010775202184560306,NO,38
113,0.030953232373161294,NO,212
114,0.0108683058127836,NO,45
115,0.014119020469778842,NO,107
116,0.010411831248871415,NO,11
117,0.010513450240745133,NO,22
118,0.015799048371696673,NO,126
119,0.029036203556490645,NO,191
120,0.02389064117329583,NO,198
121,0.011318256771062742,NO,65
122,0.07214042094735233,NO,268
123,0.01107652032716548,NO,44
124,0.021328220796248357,NO,139
125,0.010567008877075443,NO,29
126,0.011731755711400484,NO,66
127,0.01036121948738415,NO,6
128,0.010567008877075443,NO,30
129,0.050215570017301286,NO,115
130,0.010391400470385143,NO,5
131,0.010491896791839764,NO,23
132,0.03894861061099151,NO,20
133,0.018070521119060698,NO,78
134,0.011285866136659248,NO,54
135,0.03938353144430875,NO,27
136,0.012311985500470794,NO,91
137,0.013397129618726165,NO,94
138,0.011685736452660193,NO,75
139,0.010391400470385143,NO,5
140,0.010641364383974531,NO,26
141,0.010567008877075443,NO,30
142,0.010607329383981996,NO,32
143,0.04121464456180055,NO,57
144,0.010607329383981996,NO,31
145,0.040152295329398416,NO,41
146,0.30107661993429663,NO,441
147,0.010446854349380509,NO,19
148,0.02472153077809077,NO,193
149,0.010381591548832846,NO,11
150,0.010440436332101713,NO,12
151,0.01062911741822459,NO,31
152,0.011269686033516564,NO,61
153,0.010607329383981996,NO,33
154,0.011073760442012791,NO,54
155,0.011285866136659248,NO,55
156,0.0108683058127836,NO,48
157,0.01139783759218405,NO,66
158,0.010545346798681616,NO,30
159,0.01104341885899335,NO,50
160,0.011367073095353866,NO,53
161,0.01467829627356215,NO,116
162,0.01213677744728988,NO,69
163,0.038821783983001346,NO,10
164,0.038821783983001346,NO,7
165,0.038821783983001346,NO,7
166,0.011190989850388057,NO,62
167,0.010545346798681616,NO,30
168,0.010966285174374963,NO,49
169,0.013449418479953417,NO,107
170,0.04651101971584368,NO,92
171,0.01107652032716548,NO,47
172,0.01104341885899335,NO,49
173,0.011073760442012791,NO,56
174,0.0115349908999001,NO,63
175,0.012348818810281588,NO,86
176,0.015962570781931838,NO,139
177,0.0120181718282661,NO,85
178,0.010699921612908359,NO,37
179,0.011318256771062742,NO,66
180,0.04121464456180055,NO,56
181,0.010381591548832846,NO,9
182,0.012462479253328648,NO,78
