InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.07903196451127788,NO,15
1,0.07905470364814714,NO,8
2,0.07915565737701083,NO,7
3,0.7535959913267667,NO,320
4,1.0,NO,1073
5,0.07915565737701083,NO,5
6,0.07903196451127788,NO,16
7,0.07847544904262264,NO,16
8,0.07916412734582219,NO,36
9,0.19779470228168144,NO,15
10,0.8764276343646071,NO,169
11,0.7406506695843423,NO,168
12,0.9070391097068851,NO,261
13,0.7837986038963326,NO,254
14,0.08951645638909378,NO,97
15,0.07837824197841195,NO,12
16,0.08148753190387209,NO,53
17,0.07916412734582219,NO,35
18,0.07837824197841195,NO,13
19,0.44709648692832316,NO,9
20,0.07915565737701083,NO,6
21,0.07915565737701083,NO,5
22,0.9999999709736799,NO,546
23,0.995230613042752,NO,274
24,0.6868958917361053,NO,136
25,0.5378916333239246,NO,4
26,0.5378916333239246,NO,4
27,0.07915565737701083,NO,5
28,0.07915565737701083,NO,5
29,0.9865518815634026,NO,346
30,0.9999967460003915,NO,647
31,0.43184216061605524,NO,68
32,0.9737906876483989,NO,363
33,0.1586615107345258,NO,126
34,0.07859834524050976,NO,7
35,0.07859834524050976,NO,7
36,0.7547309183521997,NO,30
37,0.7608603837223953,NO,94
38,0.5958113807183335,NO,154
39,0.08577249557944801,NO,75
40,0.5594779581372581,NO,40
41,0.3671758690956002,NO,84
42,0.9991521073427468,NO,375
43,0.7640671752583158,NO,207
44,0.6074725229516564,NO,49
45,0.07936107960282779,NO,36
46,0.825248886437764,NO,144
47,0.7593681236418879,NO,188
48,0.828359805041441,NO,152
49,0.08731710749513774,NO,58
50,0.10274065020670185,NO,98
51,0.9993445070230053,NO,363
52,0.08049535703363188,NO,44
53,0.46775816773371864,NO,358
54,0.5868093984265829,NO,82
55,0.07905470364814714,NO,10
56,0.9984086394056757,NO,397
57,0.09604212501759883,NO,101
58,0.42823567454479905,NO,76
59,0.07905470364814714,NO,10
60,0.07905470364814714,NO,12
61,0.07905470364814714,NO,12
62,0.8408918579523118,NO,160
63,0.08170474397698203,NO,65
64,0.18214872751846176,NO,30
65,0.3274832625916527,NO,18
66,0.5378916333239246,NO,7
67,0.07915565737701083,NO,4
68,0.07866336178707103,NO,27
69,0.08148753190387209,NO,52
70,0.08282041321059683,NO,70
71,0.5648283325363785,NO,81
72,0.09609670184817956,NO,119
73,0.08095011914831156,NO,47
74,0.07849804170624017,NO,9
75,0.9351088395647293,NO,334
76,0.07986132956856133,NO,45
77,0.08039214633231877,NO,54
78,0.5457286061507175,NO,51
79,0.08547391808032942,NO,79
80,0.0796157066840966,NO,26
81,0.07854333126093782,NO,27
82,0.2266772575214225,NO,112
83,0.5892002179631979,NO,195
84,0.0934484535289823,NO,111
85,0.47786628014209864,NO,95
86,0.07905470364814714,NO,10
87,0.9933244009455922,NO,209
88,0.9984761337383005,NO,183
89,0.07875405271592088,NO,30
90,0.08361149754659708,NO,68
91,0.9501814613126033,NO,312
92,0.07859834524050976,NO,7
93,0.5990717524237615,NO,101
94,0.09087426232660431,NO,80
95,0.07841066083339324,NO,23
96,0.08095011914831156,NO,48
97,0.21074178746494807,NO,40
98,0.07986132956856133,NO,48
99,0.20951705785045915,NO,34
100,0.08547391808032942,NO,80
101,0.21844902991344498,NO,68
102,0.07866336178707103,NO,27
103,0.12001557491280475,NO,165
104,0.07866336178707103,NO,28
105,0.07853050589060873,NO,19
106,0.11573335382821746,NO,161
107,0.07853050589060873,NO,20
108,0.14115746757694664,NO,194
109,0.07936107960282779,NO,38
110,0.17966772979182127,NO,212
111,0.07986132956856133,NO,45
112,0.09513671284684687,NO,107
113,0.07905470364814714,NO,11
114,0.07853050589060873,NO,22
115,0.10840313544656628,NO,126
116,0.5315418880683174,NO,191
117,0.14854546312631597,NO,198
118,0.0818291767593917,NO,65
119,0.741121735142458,NO,268
120,0.08049535703363188,NO,44
121,0.13071202529972073,NO,139
122,0.07859834524050976,NO,6
123,0.07875405271592088,NO,30
124,0.1784677718544219,NO,111
125,0.5378916333239246,NO,5
126,0.37082022675213944,NO,23
127,0.07849804170624017,NO,11
128,0.24648455049693194,NO,68
129,0.1575155954497575,NO,54
130,0.07847544904262264,NO,18
131,0.5477848279010109,NO,91
132,0.08369783092658445,NO,75
133,0.5378916333239246,NO,5
134,0.5368787005865248,NO,26
135,0.07875405271592088,NO,30
136,0.07887437770358027,NO,32
137,0.08039214633231877,NO,52
138,0.07887437770358027,NO,31
139,0.07916412734582219,NO,36
140,0.8680789640058338,NO,441
141,0.07853050589060873,NO,19
142,0.1518091666202037,NO,193
143,0.07849804170624017,NO,11
144,0.07905470364814714,NO,12
145,0.07875405271592088,NO,31
146,0.24341262819722126,NO,50
147,0.47192252468680385,NO,33
148,0.4179006793748967,NO,54
149,0.08133092998829446,NO,55
150,0.07986132956856133,NO,48
151,0.0824901249737666,NO,66
152,0.07887437770358027,NO,30
153,0.08071477330229561,NO,50
154,0.08148753190387209,NO,53
155,0.354759571559159,NO,89
156,0.08487534339553043,NO,69
157,0.32924384204355134,NO,10
158,0.32954996260830544,NO,7
159,0.32954996260830544,NO,7
160,0.4221939750541734,NO,62
161,0.07887437770358027,NO,30
162,0.5465506309278555,NO,49
163,0.5993713476213649,NO,107
164,0.08170474397698203,NO,62
165,0.3326501534286162,NO,47
166,0.08018201202335416,NO,49
167,0.4199150700374621,NO,56
168,0.31697558401356474,NO,63
169,0.08654637538836613,NO,86
170,0.49047299667045846,NO,139
171,0.4290372900286692,NO,85
172,0.11899808688165223,NO,37
173,0.18572382172637114,NO,66
174,0.08100605718667221,NO,56
175,0.07849804170624017,NO,9
176,0.5802742628938125,NO,78
177,0.07903196451127788,NO,15
178,0.08148753190387209,NO,50
179,0.08282041321059683,NO,68
180,0.08018201202335416,NO,49
181,0.07849804170624017,NO,9
182,0.08095011914831156,NO,46
183,0.07849804170624017,NO,8
184,0.970144691819999,NO,367
185,0.08095011914831156,NO,46
186,0.07875405271592088,NO,29
187,0.07986132956856133,NO,45
188,0.07887437770358027,NO,31
189,0.08547391808032942,NO,77
190,0.26987513928115453,NO,71
191,0.07397405253694866,NO,8
192,0.07406904003369773,NO,7
193,0.7399977023040112,NO,320
194,1.0,NO,1066
195,0.07406904003369773,NO,5
196,0.07342905698394357,NO,16
197,0.07407700949938818,NO,36
198,0.07395265743773222,NO,14
199,0.14067706604478844,NO,144
200,0.15987264739951618,NO,162
201,0.37190302841385603,NO,244
202,0.404631116931275,NO,248
203,0.08382465174356449,NO,97
204,0.07333760338745185,NO,12
205,0.0762634764107547,NO,53
206,0.07407700949938818,NO,35
207,0.07333760338745185,NO,13
208,0.07333760338745185,NO,8
209,0.07406904003369773,NO,6
210,0.07406904003369773,NO,5
211,0.9999912118488461,NO,462
212,0.5996598442178227,NO,266
213,0.13451058581487854,NO,135
214,0.07406904003369773,NO,4
215,0.07406904003369773,NO,4
216,0.07406904003369773,NO,5
217,0.07575767483923211,NO,46
218,0.07369117760577663,NO,29
219,0.07406904003369773,NO,5
220,0.47861691016388663,NO,250
221,0.9999633174109447,NO,648
222,0.15587508794380558,NO,186
223,0.9585575233772561,NO,422
224,0.0735446810078825,NO,7
225,0.0735446810078825,NO,7
226,0.08203687563264173,NO,32
227,0.08001656412547958,NO,76
228,0.15218171076013445,NO,154
229,0.08584035468422598,NO,42
230,0.9772722628355431,NO,363
231,0.22040833825953152,NO,198
232,0.09005707335664342,NO,47
233,0.07426232620963498,NO,36
234,0.2168792260652934,NO,138
235,0.1778636742443313,NO,185
236,0.13195151945053432,NO,159
237,0.08175258945168704,NO,58
238,0.09629693157007917,NO,98
239,0.9983844950131534,NO,358
240,0.07532969194869976,NO,44
241,0.4499002282704156,NO,358
242,0.08892202184098984,NO,82
243,0.07395265743773222,NO,15
244,0.0762634764107547,NO,50
245,0.0775181200100615,NO,68
246,0.07473304530697991,NO,45
247,0.07523256271844726,NO,54
248,0.07349292214201218,NO,26
249,0.08547391808032942,NO,79
250,0.0796157066840966,NO,26
251,0.07349292214201218,NO,27
252,0.08670601560521546,NO,109
253,0.13840589058721411,NO,191
254,0.0875306724440645,NO,111
255,0.07993688483983842,NO,84
256,0.07397405253694866,NO,10
257,0.2794399262657909,NO,200
258,0.147880320946956,NO,169
259,0.07369117760577663,NO,30
260,0.07826287954160248,NO,68
261,0.7449410855938359,NO,311
262,0.0735446810078825,NO,7
263,0.12804516169379693,NO,100
264,0.1244491583957829,NO,80
265,0.07336810330535708,NO,23
