InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,28,1.1799124345527295E-4,28
1,28,1.1799124345527295E-4,28
2,387,0.6428039125028038,387
3,1087,6.173590551004247E-5,1087
4,25,1.1706303269207152E-4,25
5,50,1.2449499879909105E-4,50
6,76,1.3190642440753702E-4,76
7,38,1.2077807437096071E-4,38
8,168,1.5808472932186027E-4,168
9,268,1.8136600596565651E-4,268
10,371,2.6598258006041534E-6,371
11,145,1.517003174469493E-4,145
12,85,1.3466866501240604E-4,85
13,64,1.2867010457035498E-4,64
14,36,1.2031345056339613E-4,36
15,36,1.2031345056339613E-4,36
16,36,0.47098337370274573,36
17,26,1.1752707695873638E-4,26
18,491,0.59938924430183,491
19,357,6.038259912493508E-8,357
20,196,1.6538531454251109E-4,196
21,24,1.1659912365185282E-4,24
22,27,1.1752707695873638E-4,27
23,69,1.3005861716955156E-4,69
24,56,1.2635199723239944E-4,56
25,26,1.1752707695873638E-4,26
26,187,1.6300044621459753E-4,187
27,983,8.804948461086538E-5,983
28,252,1.781393583332923E-4,252
29,620,1.851667954541174E-4,620
30,37,1.2077807437096071E-4,37
31,35,1.1984886983352297E-4,35
32,286,1.8495960252735874E-4,286
33,232,1.7365218736152367E-4,232
34,203,1.6694598377730088E-4,203
35,270,1.819865334614342E-4,270
36,425,2.0033546583357386E-4,425
37,244,1.764513099746177E-4,244
38,74,1.3144489533966773E-4,74
39,69,1.3005861716955156E-4,69
40,247,5.646076926798684E-8,247
41,231,1.7365218736152367E-4,231
42,202,1.6655807688269148E-4,202
43,99,1.3878445669124277E-4,99
44,191,1.638010911282353E-4,191
45,447,2.007997382948398E-4,447
46,95,1.3741673404839966E-4,95
47,549,1.9552641304506295E-4,549
48,136,1.4908259400723344E-4,136
49,40,1.212427278739114E-4,40
50,86,1.3512774649513873E-4,86
51,90,1.3604466985318286E-4,90
52,79,1.328285502454238E-4,79
53,85,1.3466866501240604E-4,85
54,59,1.2681594461323668E-4,59
55,112,0.5175997440409109,112
56,52,1.2495940188265965E-4,52
57,157,1.5513577239658466E-4,157
58,74,1.3144489533966773E-4,74
59,230,0.5710208035548084,230
60,206,0.5622624589729288,206
61,55,1.2588791500673833E-4,55
62,29,1.1799124345527295E-4,29
63,111,0.5131011753664244,111
64,98,0.5091150726470214,98
65,43,0.4819458624304812,43
66,54,1.2542371191322048E-4,54
67,205,1.6733235898092256E-4,205
68,121,1.4509785599145806E-4,121
69,107,1.4105325044342807E-4,107
70,74,1.3144489533966773E-4,74
71,76,1.3190642440753702E-4,76
72,33,1.1938434551022607E-4,33
73,430,0.6579863133314923,430
74,146,1.5213330262209412E-4,146
75,125,1.4598891884532171E-4,125
76,75,1.3190642440753702E-4,75
77,47,1.2356596877134487E-4,47
78,34,1.1984886983352297E-4,34
79,39,1.212427278739114E-4,39
80,36,1.2031345056339613E-4,36
81,79,1.328285502454238E-4,79
82,28,1.1799124345527295E-4,28
83,422,0.5985594587732227,422
84,212,1.6924074279855034E-4,212
85,88,1.3558641969442145E-4,88
86,57,1.2635199723239944E-4,57
87,43,1.2217207017302338E-4,43
88,27,1.1752707695873638E-4,27
89,25,1.1706303269207152E-4,25
90,53,1.2542371191322048E-4,53
91,108,1.4150526238051352E-4,108
92,102,1.3969366078728972E-4,102
93,85,1.3466866501240604E-4,85
94,54,1.2542371191322048E-4,54
95,78,1.328285502454238E-4,78
96,98,1.383290563823961E-4,98
97,78,1.328285502454238E-4,78
98,77,1.3236764754816574E-4,77
99,97,1.383290563823961E-4,97
100,176,1.6015544915090138E-4,176
101,123,1.4554376455602107E-4,123
102,51,1.2449499879909105E-4,51
103,71,1.3052097729930004E-4,71
104,94,1.3741673404839966E-4,94
105,28,0.47257164795894774,28
106,28,0.47257164795894774,28
