InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.011085531870142358,NO,18
1,0.01231864741509622,NO,44
2,0.012600847378252024,NO,34
3,0.005634046666840138,NO,19
4,0.005604334392162936,NO,8
5,0.005602979585941194,NO,7
6,0.5227917709354658,NO,402
7,1.0,NO,1169
8,0.005600785010828944,NO,5
9,0.005622804900419846,NO,16
10,0.005610430398789403,NO,11
11,0.01197641323637222,NO,143
12,0.005599945041549703,NO,4
13,0.03307019034850703,NO,141
14,0.0056148045982582495,NO,16
15,0.012501652695071907,NO,40
16,0.005622804900419846,NO,16
17,0.03008422851067617,NO,173
18,0.0137387733038555,NO,168
19,0.04708977350686178,NO,261
20,0.04158848303303618,NO,275
21,0.0067105113957395815,NO,97
22,0.005611747843787212,NO,12
23,0.0059965296159615895,NO,53
24,0.005713214398640512,NO,35
25,0.0056245507010516125,NO,18
26,0.005622600435944142,NO,13
27,0.005605050163139098,NO,9
28,0.005875191843202639,NO,50
29,0.005601796494842332,NO,6
30,0.005600785010828944,NO,5
31,0.9999999999841485,NO,713
32,0.1835665523577144,NO,273
33,0.01104182457504587,NO,140
34,0.005599945041549703,NO,4
35,0.005599945041549703,NO,4
36,0.005600785010828944,NO,5
37,0.014930484532300009,NO,120
38,0.005600785010828944,NO,5
39,0.25994967273318,NO,346
40,0.9993731855845682,NO,652
41,0.006525689908479776,NO,68
42,0.2196597205453336,NO,363
43,0.009392500424955548,NO,126
44,0.005596843305053825,NO,7
45,0.005596843305053825,NO,7
46,0.0064811740814383414,NO,31
47,0.006900219405881805,NO,94
48,0.012943783695310384,NO,154
49,0.006519241205407407,NO,75
50,0.006637098343590938,NO,40
51,0.006691654675315165,NO,84
52,0.9999931450710179,NO,582
53,0.028795574423844474,NO,213
54,0.007267018268247227,NO,49
55,0.005764044107341672,NO,36
56,0.021598070132570334,NO,144
57,0.018136432486155565,NO,193
58,0.010668909258244959,NO,152
59,0.00653529919208624,NO,59
60,0.007763742516838288,NO,98
61,0.9164416670996398,NO,363
62,0.005906347622958604,NO,44
63,0.05741248380566924,NO,360
64,0.007093371998707325,NO,82
65,0.005608473512052488,NO,10
66,0.9845920762823276,NO,409
67,0.014837611300866752,NO,104
68,0.012610301022116932,NO,78
69,0.005608473512052488,NO,10
70,0.005612559681361282,NO,12
71,0.005612559681361282,NO,12
72,0.03396805324715216,NO,215
73,0.0057802818262620665,NO,40
74,0.005680829042407254,NO,30
75,0.006171258553420598,NO,75
76,0.005682794008516267,NO,30
77,0.005610430398789403,NO,11
78,0.005599945041549703,NO,4
79,0.005664172713500376,NO,27
80,0.005619983929654945,NO,15
81,0.006057893874247178,NO,52
82,0.0061474200679450045,NO,70
83,0.006346716094942119,NO,81
84,0.00723650376429236,NO,119
85,0.0060541034004025695,NO,55
86,0.005611184313095144,NO,14
87,0.9979407606990438,NO,508
88,0.006603892809006772,NO,82
89,0.005600785010828944,NO,5
90,0.00582484921136664,NO,45
91,0.005915512854852124,NO,54
92,0.00597605992499475,NO,51
93,0.013206721903309591,NO,88
94,0.00577517767857377,NO,26
95,0.005678096448393553,NO,27
96,0.01756862864210639,NO,124
97,0.10913707808059221,NO,335
98,0.007139186869163557,NO,111
99,0.006560691594213017,NO,95
100,0.005608473512052488,NO,10
101,0.27478059762441026,NO,385
102,0.01460966798039829,NO,182
103,0.005688100061783886,NO,30
104,0.006227342600079728,NO,68
105,0.23028626068472047,NO,324
106,0.005596843305053825,NO,7
107,0.007200025599835252,NO,101
108,0.006799709832483955,NO,80
109,0.005932910012606849,NO,47
110,0.006594582387755223,NO,63
111,0.005757312696289348,NO,40
112,0.005837208900674323,NO,48
113,0.005704795006141367,NO,34
114,0.007950826861278723,NO,112
115,0.00629206873883247,NO,72
116,0.005662214149497058,NO,27
117,0.00933846544705105,NO,165
118,0.005667309757440002,NO,28
119,0.005626030460040676,NO,19
120,0.008991384747490413,NO,161
121,0.005629629470312214,NO,20
122,0.01140389199450555,NO,194
123,0.005781549866432877,NO,38
124,0.015124111402996373,NO,212
125,0.005801704017231534,NO,45
126,0.00736141179609857,NO,107
127,0.005610430398789403,NO,11
128,0.0056393017705600665,NO,22
129,0.008328957006152373,NO,126
130,0.014267181929376364,NO,191
131,0.012010361443177901,NO,198
132,0.006026204636432827,NO,65
133,0.03294948032946645,NO,265
134,0.005906347622958604,NO,44
135,0.010549290726949842,NO,139
136,0.005679843993748468,NO,29
137,0.006200020380551636,NO,66
138,0.005595661502363572,NO,6
139,0.005688100061783886,NO,30
140,0.013857454907710443,NO,115
141,0.005600785010828944,NO,5
142,0.005645455437254589,NO,23
143,0.005629629470312214,NO,20
144,0.012333839182741679,NO,78
145,0.005979307323108057,NO,54
146,0.005669461479108592,NO,27
147,0.006490902647799733,NO,91
148,0.007097110816157756,NO,94
149,0.006221076376826635,NO,75
150,0.005600785010828944,NO,5
151,0.005702988817359203,NO,26
152,0.005696763256237014,NO,30
153,0.005694318938993386,NO,32
154,0.005938784775015168,NO,57
155,0.0056884160098673794,NO,31
156,0.005764961839260358,NO,41
157,0.16179788537281023,NO,441
158,0.005627876554415657,NO,19
159,0.012276000315980388,NO,193
160,0.005604286003896528,NO,11
161,0.005612559681361282,NO,12
