InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,168,7.968127490039841E-4,168
1,228,0.999203187250996,228
2,374,0.999203187250996,374
3,88,7.968127490039841E-4,88
4,289,0.999203187250996,289
5,907,0.999203187250996,907
6,21,7.968127490039841E-4,21
7,114,7.968127490039841E-4,114
8,5,1.3297872340425532E-4,5
9,730,7.968127490039841E-4,730
10,121,3.9872408293460925E-4,121
11,204,0.999203187250996,204
12,368,0.999203187250996,368
13,9,7.968127490039841E-4,9
14,265,0.999203187250996,265
15,323,0.999203187250996,323
16,7,1.1398609369656902E-4,7
17,380,7.968127490039841E-4,380
18,8,7.968127490039841E-4,8
19,39,7.968127490039841E-4,39
20,116,7.968127490039841E-4,116
21,364,7.968127490039841E-4,364
22,107,7.968127490039841E-4,107
23,16,7.968127490039841E-4,16
24,4,9.974067424695791E-5,4
25,707,0.999203187250996,707
26,10,6.138358602909582E-5,10
27,29,7.968127490039841E-4,29
28,48,3.9872408293460925E-4,48
29,23,3.9872408293460925E-4,23
30,158,7.968127490039841E-4,158
31,133,7.968127490039841E-4,133
32,18,7.968127490039841E-4,18
33,83,3.9872408293460925E-4,83
34,24,3.9872408293460925E-4,24
35,15,3.9872408293460925E-4,15
36,60,0.999203187250996,60
37,29,7.968127490039841E-4,29
38,258,7.968127490039841E-4,258
39,237,7.968127490039841E-4,237
40,403,0.999203187250996,403
41,205,7.968127490039841E-4,205
42,30,7.968127490039841E-4,30
43,115,3.9872408293460925E-4,115
44,15,7.968127490039841E-4,15
45,183,3.9872408293460925E-4,183
46,62,7.968127490039841E-4,62
47,27,2.6588673225206064E-4,27
48,39,7.968127490039841E-4,39
49,77,7.968127490039841E-4,77
50,278,3.9872408293460925E-4,278
51,565,0.999203187250996,565
52,325,7.968127490039841E-4,325
53,116,0.999203187250996,116
54,104,7.968127490039841E-4,104
55,52,7.968127490039841E-4,52
56,105,3.9872408293460925E-4,105
57,265,0.999203187250996,265
58,83,3.9872408293460925E-4,83
59,65,7.968127490039841E-4,65
60,68,0.999203187250996,68
61,47,3.9872408293460925E-4,47
62,89,3.9872408293460925E-4,89
63,90,7.968127490039841E-4,90
64,241,0.999203187250996,241
65,4,9.974067424695791E-5,4
66,44,0.999203187250996,44
67,181,0.999203187250996,181
68,102,7.968127490039841E-4,102
69,57,0.999203187250996,57
70,306,7.968127490039841E-4,306
71,58,0.999203187250996,58
72,126,3.9872408293460925E-4,126
73,49,0.999203187250996,49
74,136,0.999203187250996,136
75,25,7.968127490039841E-4,25
76,474,7.968127490039841E-4,474
77,463,0.999203187250996,463
78,42,7.968127490039841E-4,42
79,43,0.999203187250996,43
80,65,7.968127490039841E-4,65
81,285,7.968127490039841E-4,285
82,143,7.968127490039841E-4,143
83,13,3.9872408293460925E-4,13
84,4,9.974067424695791E-5,4
85,31,7.968127490039841E-4,31
86,13,3.9872408293460925E-4,13
87,12,0.999203187250996,12
88,20,7.968127490039841E-4,20
89,20,7.968127490039841E-4,20
90,22,7.968127490039841E-4,22
91,89,3.9872408293460925E-4,89
92,108,7.968127490039841E-4,108
93,143,7.968127490039841E-4,143
94,217,0.999203187250996,217
95,138,7.968127490039841E-4,138
96,151,7.968127490039841E-4,151
97,197,7.968127490039841E-4,197
98,240,7.968127490039841E-4,240
99,253,0.999203187250996,253
100,50,0.999203187250996,50
101,9,7.968127490039841E-4,9
102,59,7.968127490039841E-4,59
103,3670,7.968127490039841E-4,3670
104,488,0.999203187250996,488
105,23,7.968127490039841E-4,23
106,68,7.968127490039841E-4,68
107,406,0.999203187250996,406
108,213,0.999203187250996,213
109,200,3.9872408293460925E-4,200
110,95,3.9872408293460925E-4,95
111,20,0.999203187250996,20
112,33,7.968127490039841E-4,33
113,276,7.968127490039841E-4,276
114,104,3.9872408293460925E-4,104
115,84,3.9872408293460925E-4,84
