@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
47,1,1,47,47,47.00,47,47,47,0,1,47.00,0.00,NO
108,1,2,108,108,54.00,101,108,101,0,7,54.00,26.00,NO
111,1,1,111,111,111.00,111,111,111,0,8,111.00,0.00,NO
319,1,3,319,319,106.33,298,319,298,0,34,106.33,30.50,NO
129,1,3,1177,653,217.67,622,1155,622,0,9,385.00,30.50,NO
49,1,1,49,49,49.00,49,49,49,0,1,49.00,0.00,NO
358,1,4,370,364,91.00,308,360,308,1,37,90.00,36.33,NO
277,1,5,1271,774,154.80,538,1179,559,1,22,235.80,24.25,NO
49,1,2,49,49,24.50,46,49,46,0,1,24.50,25.00,NO
89,1,1,89,89,89.00,89,89,89,0,1,89.00,0.00,NO
41,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
66,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
63,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
24,1,1,24,24,24.00,24,24,24,0,1,24.00,0.00,NO
50,1,1,50,50,50.00,50,50,50,0,1,50.00,0.00,NO
72,1,2,90,81,40.50,72,74,72,0,7,37.00,7.00,NO
47,1,1,47,47,47.00,47,47,47,0,2,47.00,0.00,NO
47,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
183,0,0,0,0,0.00,0,0,0,0,10,0.00,0.00,NO
49,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
50,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
98,0,0,0,0,0.00,0,0,0,0,13,0.00,0.00,NO
143,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
43,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
42,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
56,0,0,0,0,0.00,0,0,0,0,6,0.00,0.00,NO
44,1,1,44,44,44.00,44,44,44,0,1,44.00,0.00,NO
26,1,1,26,26,26.00,26,26,26,0,1,26.00,0.00,NO
254,2,6,118,105,17.50,42,98,42,1,38,16.33,37.40,NO
16883,2,14,14906,12633,902.36,4082,10822,3115,3,1943,773.00,14.54,NO
74,1,1,74,74,74.00,74,74,74,0,6,74.00,0.00,NO
153,0,0,0,0,0.00,0,0,0,0,16,0.00,0.00,NO
68,2,3,27,26,8.67,18,25,18,0,1,8.33,47.50,NO
100,1,1,59,59,59.00,59,59,59,0,8,59.00,0.00,NO
549,2,6,515,332,55.33,223,309,213,2,47,51.50,20.80,NO
437,1,1,12,12,12.00,12,12,12,1,6,12.00,0.00,NO
1033,2,8,315,154,19.25,83,229,173,4,143,28.63,18.00,NO
101,1,1,13,11,11.00,11,9,9,0,19,9.00,0.00,NO
331,1,2,70,23,11.50,18,32,32,1,51,16.00,70.00,NO
123,1,1,123,123,123.00,123,123,123,0,9,123.00,0.00,NO
106,1,2,14,8,4.00,4,2,1,2,11,1.00,0.00,NO
106,1,2,6,4,2.00,2,2,1,2,5,1.00,0.00,NO
93,1,2,6,4,2.00,2,2,1,2,7,1.00,0.00,NO
101,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
38,1,1,11,2,2.00,2,7,7,1,2,7.00,0.00,NO
584,3,12,347,316,26.33,140,285,121,4,34,23.75,16.64,NO
32,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
111,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
35,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
90,1,1,5,5,5.00,5,5,5,1,6,5.00,0.00,NO
27,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
28,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
92,1,5,72,64,12.80,28,56,27,1,1,11.20,32.25,NO
885,3,15,647,480,32.00,125,439,118,7,57,29.27,12.14,NO
67,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
